category,text
positive,"Identification and functional characterization of an odorant receptor in pea aphid, Acyrthosiphon pisum. The sensitive olfactory system is necessary for survival of insects. Odorant receptors (ORs) are located on the dendrites of olfactory receptor neurons and play a critical role in odor detection. Insect ORs are functionally analyzed via heterologous expression in a Xenopus oocyte system using a two-electrode voltage-clamp (TEVC) electrophysiological recording. Here, we have identified a novel OR in the pea aphid, Acyrthosiphon pisum, then we cloned and named it ApisOR4. We analyzed the ApisOR4 tissue expression patterns and found expression only in antennae tissues. Further functional analysis using TEVC revealed that ApisOR4 is broadly tuned to eight volatiles, which elicit electrophysiological response in pea aphid antennae. This study provides an initial functional analysis of aphid ORs and identifies candidate volatiles to be used in developing new strategies for aphid control. "
positive,"Molecular features and expression profiles of octopamine receptors in the brown planthopper, Nilaparvata lugens. BACKGROUND: Octopamine, the invertebrate counterpart of adrenaline and noradrenaline, regulates and modulates many physiological and behavioral processes in insects. It mediates its effects by binding to specific octopamine receptors, which belong to the superfamily of G-protein coupled receptors (GPCRs). The expression profiles of octopamine receptor genes have been well documented in different developmental stages and multiple tissue types in several different insect orders. However, little work has addressed this issue in Hemiptera. RESULTS: In this study, we cloned four octopamine receptor genes from brown planthopper. The deduced amino acid sequences share high identity with other insect homologues and have the characteristic GPCRs domain architecture: seven transmembrane domains. These genes were expressed in all developmental stages and examined tissues. The expression of NlOA2B3 and NlOA3 was relatively higher in egg and first instar nymph stage than in other stages and other receptor genes. All of these receptor genes were more highly expressed in brain than other tissues. CONCLUSION: The identification of octopamine receptor genes in this study will provide a foundation for investigating the diverse roles played by NlOARs and for exploring specific target sites for chemicals that control agricultural pests. © 2019 Society of Chemical Industry. "
positive,"Insecticide Exposure Triggers a Modulated Expression of ABC Transporter Genes in Larvae of Anopheles gambiae s.s. Insecticides remain a main tool for the control of arthropod vectors. The urgency to prevent the insurgence of insecticide resistance and the perspective to find new target sites, for the development of novel molecules, are fuelling the study of the molecular mechanisms involved in insect defence against xenobiotic compounds. In this study, we have investigated if ATP-binding cassette (ABC) transporters, a major component of the defensome machinery, are involved in defence against the insecticide permethrin, in susceptible larvae of the malaria vector Anopheles gambiae sensu stricto. Bioassays were performed with permethrin alone, or in combination with an ABC transporter inhibitor. Then we have investigated the expression profiles of five ABC transporter genes at different time points following permethrin exposure, to assess their expression patterns across time. The inhibition of ABC transporters increased the larval mortality by about 15-fold. Likewise, three genes were up-regulated after exposure to permethrin, showing different patterns of expression across the 48 h. Our results provide the first evidences of ABC transporters involvement in defence against a toxic in larvae of An. gambiae s.s. and show that the gene expression response is modulated across time, being continuous, but stronger at the earliest and latest times after exposure. "
positive,"Host-mediated RNA interference targeting a cuticular protein gene impaired fecundity in the green peach aphid Myzus persicae. BACKGROUND: The green peach aphid (Myzus persicae) is a devastating sap-sucking insect pest that damages many host plants worldwide and causes billions of dollars of crop losses. Induction of RNA interference (RNAi) through oral feeding of small interfering RNA (siRNA) has been demonstrated in aphids. Therefore, host-mediated delivery of double-stranded RNA (dsRNA) specific to vital structural genes of aphids has been envisaged as a tool for the development of resistance against this aphid species. RESULTS: Cuticular protein (CP) senses seasonal photoperiodism and drives a shift from clonal to sexual generation in aphids. Thus, attenuation of CP gene expression is likely to result in a different reproductive orientation in aphids and thereby affect their fecundity. A gene encoding CP in M. persicae has been targeted for RNAi-mediated knockdown. Transgenic Arabidopsis expressing dsRNA homologous to the MyCP gene was developed. The dsRNA-transgenics produced gene-specific siRNAs fed by aphids infesting the transgenics. A reverse transcription-quantitative polymerase chain reaction (RT-qPCR) study revealed an attenuated level of transcripts of the CP gene in aphid nymphs reared on the transgenic plants. Decreased expression of the CP gene resulted in a noticeable decline in aphid fecundity on the transgenic Arabidopsis plants. CONCLUSION: Increasing genetic resistance is the only sustainable way of minimizing the use of toxic agrochemicals to protect plants. Host-mediated RNAi of important insect genes has been proposed as a potential avenue for developing crop resistance against insect pests. This study demonstrated the potential of MyCP dsRNA in developing RNAi-based resistance to M. persicae. RNAi-mediated resistance is expected to be more durable compared with other transgenic strategies. © 2018 Society of Chemical Industry. "
negative,"Molecular cloning and characterization of two nicotinic acetylcholine receptor β subunit genes from Apis cerana cerana. Nicotinic acetylcholine receptors (nAChRs) mediate fast cholinergic synaptic transmission in the insect nervous system and are important targets for insecticides. In this study, we identified and characterized two novel β subunit genes (Accβ1 and Accβ2) from Apis cerana cerana. Homology analysis indicated that Accβ1 and Accβ2 possess characteristics that are typical of nAChR subunits although Accβ2 was distinct from Accβ1 and the other nAChR subunits, due to its unusual transmembrane structure and uncommon exon-intron boundary within the genomic region encoding the TM1 transmembrane domain. Analysis of the 5' flanking regions indicated that Accβ1 and Accβ2 possess different regulatory elements, suggesting that the genes might exhibit various expression and regulatory patterns. RT-PCR analysis demonstrated that Accβ2 was expressed at a much higher level than Accβ1 in the tissues of adult bees. During development, Accβ1 was highly expressed at the pupal stages, whereas Accβ2 was abundantly expressed at the larval stages. Furthermore, Accβ1 and Accβ2 were both induced by exposure to various insecticides and environmental stresses although Accβ2 was more responsive than Accβ1. These results indicate that Accβ1 and Accβ2 may have distinct roles in insect growth and development and that they may belong to separate regulatory pathways involved in the response to insecticides and environmental stresses. This report is the first description of the differences between the nAChR β subunit genes in the Chinese honey bee and establishes an initial foundation for further study. "
negative,"Isolation and genomic characterization of Culex flaviviruses from mosquitoes in Myanmar. An entomological surveillance of arboviruses was conducted in Myanmar in 2014. A total of 8357 Culex mosquito vectors were collected in the Mandalay area and virus isolation was done by using the mosquito cell line C6 / 36 E2. A total of eighteen strains of Culex flavivirus (CxFV) were isolated from Cx. tritaeniorhynchus, Cx. vishnui and Cx. fuscocephala. Like other insect-specific flaviviruses, CxFV can replicate only in mosquito cells but not in mammalian cells. These CxFV strains that were isolated in Japan from mosquitoes collected in Myanmar were closely related to the Wang Thong virus detected from Cx fusocephalus in Thailand and Cx.theileri flavivirus (CTFV) isolated from Cx. theileri mosquitoes in Portugal and Turkey. They encode a single open reading frame with 3357 amino acid residues. They have the characteristics of flaviviruses and have 95.62% amino acid identity with CTFV. This is the first report of CxFV in Myanmar with the characterized viral genome. This study illustrated that CxFV was circulating among the vectors of human pathogenic arboviruses in Myanmar but the impact of CxFV on other flaviviruses which are endemic in the study area still remains to be explored. "
negative,"Gene targeting and transgene stacking using intra genomic homologous recombination in plants. Modern agriculture has created a demand for plant biotechnology products that provide durable resistance to insect pests, tolerance of herbicide applications for weed control, and agronomic traits tailored for specific geographies. These transgenic trait products require a modular and sequential multigene stacking platform that is supported by precise genome engineering technology. Designed nucleases have emerged as potent tools for creating targeted DNA double strand breaks (DSBs). Exogenously supplied donor DNA can repair the targeted DSB by a process known as gene targeting (GT), resulting in a desired modification of the target genome. The potential of GT technology has not been fully realized for trait deployment in agriculture, mainly because of inefficient transformation and plant regeneration systems in a majority of crop plants and genotypes. This challenge of transgene stacking in plants could be overcome by Intra-Genomic Homologous Recombination (IGHR) that converts independently segregating unlinked donor and target transgenic loci into a genetically linked molecular stack. The method requires stable integration of the donor DNA into the plant genome followed by intra-genomic mobilization. IGHR complements conventional breeding with genetic transformation and designed nucleases to provide a flexible transgene stacking and trait deployment platform.  "
negative,"Watermelon chlorotic stunt virus from the Sudan and Iran: Sequence Comparisons and Identification of a Whitefly-Transmission Determinant. ABSTRACT The genomes of two Watermelon chlorotic stunt virus (WmCSV) isolates, one from the Sudan and one from Iran, were cloned and sequenced. Sequence relationship with other geminiviruses characterizes WmCSV as a typical Eastern Hemisphere geminivirus with a bipartite genome. The two geographically distant WmCSV isolates from Africa and the Middle East share a very high overall sequence similarity: 98% between their DNA-A and 96% between their DNA-B components, and their respective capsid proteins are identical. A single amino acid change in the capsid protein (N131D) renders WmCSV whitefly nontransmissible. This region of the capsid is also implicated in transmission by Bemisia tabaci of Tomato yellow leaf curl virus. "
negative,"RNA interference as a gene silencing tool to control Tuta absoluta in tomato (Solanum lycopersicum). RNA interference (RNAi), a gene-silencing mechanism that involves providing double-stranded RNA molecules that match a specific target gene sequence, is now widely used in functional genetic studies. The potential application of RNAi-mediated control of agricultural insect pests has rapidly become evident. The production of transgenic plants expressing dsRNA molecules that target essential insect genes could provide a means of specific gene silencing in larvae that feed on these plants, resulting in larval phenotypes that range from loss of appetite to death. In this report, we show that the tomato leafminer ( Tuta absoluta ), a major threat to commercial tomato production, can be targeted by RNAi. We selected two target genes (Vacuolar ATPase-A and Arginine kinase) based on the RNAi response reported for these genes in other pest species. In view of the lack of an artificial diet for T. absoluta, we used two approaches to deliver dsRNA into tomato leaflets. The first approach was based on the uptake of dsRNA by leaflets and the second was based on ""in planta-induced transient gene silencing"" (PITGS), a well-established method for silencing plant genes, used here for the first time to deliver in planta-transcribed dsRNA to target insect genes. Tuta absoluta larvae that fed on leaves containing dsRNA of the target genes showed an ∼60% reduction in target gene transcript accumulation, an increase in larval mortality and less leaf damage. We then generated transgenic 'Micro-Tom' tomato plants that expressed hairpin sequences for both genes and observed a reduction in foliar damage by T. absoluta in these plants. Our results demonstrate the feasibility of RNAi as an alternative method for controlling this critical tomato pest. "
positive,"Hormonal control and target genes of ftz-f1 expression in the honeybee Apis mellifera: a positive loop linking juvenile hormone, ftz-f1, and vitellogenin. Ftz-f1 is an orphan member of the nuclear hormone receptor superfamily. A 20-hydroxyecdysone pulse allows ftz-f1 gene expression, which then regulates the activity of downstream genes involved in major developmental progression events. In honeybees, the expression of genes like vitellogenin (vg), prophenoloxidase and juvenile hormone-esterase during late pharate-adult development is known to be hormonally controlled in both queens and workers by increasing juvenile hormone (JH) titres in the presence of declining levels of ecdysteroids. Since Ftz-f1 is known for mediating intracellular JH signalling, we hypothesized that ftz-f1 could mediate JH action during the pharate-adult development of honeybees, thus controlling the expression of these genes. Here, we show that ftz-f1 has caste-specific transcription profiles during this developmental period, with a peak coinciding with the increase in JH titre, and that its expression is upregulated by JH and downregulated by ecdysteroids. RNAi-mediated knock down of ftz-f1 showed that the expression of genes essential for adult development (e.g. vg and cuticular genes) depends on ftz-f1 expression. Finally, a double-repressor hypothesis-inspired vg gene knock-down experiment suggests the existence of a positive molecular loop between JH, ftz-f1 and vg. "
